index,req,ts,engine,cmdtr,tr,rsp,send,recv,rts,rengine,rtr,accep,rtt1,rtt2,rtt3,rtt4,rtt5,rtt6,rtt7,rtt8,rtt9,rtt10,rtt11,rtt
215,612667735,612667737,612667759,612667764,612667770,612667791,612667778,612735729,612735729,612735731,612735736,612735740,2,22,5,11,21,8,67951,0,2,5,4,68005
217,612667981,612667982,612667988,612667996,612668004,612668021,612668011,612735796,612735796,612735799,612735803,612735807,1,6,8,16,17,7,67785,0,3,4,4,67826
218,612667981,612667983,612668005,612668010,612668016,612668043,612668011,612735629,612735629,612735633,612735638,612735643,2,22,5,11,27,-5,67618,0,4,5,5,67662
221,612668644,612668645,612668647,612668653,612668661,612668662,612668654,612735880,612735880,612735883,612735887,612735891,1,2,6,14,1,-7,67226,0,3,4,4,67247
222,612668689,612668690,612668840,612668849,612668859,612668860,612668850,612736191,612736191,612736194,612736199,612736203,1,150,9,19,1,-9,67341,0,3,5,4,67514
223,612668773,612668775,612668861,612668865,612668872,612668894,612668879,612735952,612735952,612735955,612735959,612735964,2,86,4,11,22,7,67073,0,3,4,5,67191
224,612668855,612668856,612668873,612668877,612668883,612668894,612668879,612736264,612736264,612736267,612736271,612736276,1,17,4,10,11,-4,67385,0,3,4,5,67421
225,612668913,612668914,612668917,612668925,612668934,612668935,612668926,612736344,612736344,612736347,612736350,612736354,1,3,8,17,1,-8,67418,0,3,3,4,67441
226,612669258,612669259,612669262,612669271,612669280,612669281,612669271,612736022,612736022,612736025,612736030,612736035,1,3,9,18,1,-9,66751,0,3,5,5,66777
227,612669258,612669260,612669282,612669286,612669292,612669315,612669301,612736115,612736115,612736118,612736122,612736127,2,22,4,10,23,9,66814,0,3,4,5,66869
302,622670802,622670803,622670805,622670819,622670834,622670835,622670820,622706695,622706695,622706698,622706703,622706707,1,2,14,29,1,-14,35875,0,3,5,4,35905
306,622671602,622671603,622671605,622671613,622671622,622671623,622671614,622736782,622736782,622736784,622736789,622736793,1,2,8,17,1,-8,65168,0,2,5,4,65191
