index,req,ts,engine,cmdtr,tr,rsp,send,recv,rts,rengine,rtr,accep,rtt1,rtt2,rtt3,rtt4,rtt5,rtt6,rtt7,rtt8,rtt9,rtt10,rtt11,rtt
1756,237845794,237845795,237845797,237845807,237845821,237845823,237845816,237849019,0,237849022,237849026,237849030,1,2,10,24,2,-5,3203,-237849019,237849022,4,4,3236
1757,238233164,238233165,238233167,238233173,238233183,238233192,238233180,238236306,0,238236309,238236312,238236317,1,2,6,16,9,-3,3126,-238236306,238236309,3,5,3153
1758,238385196,238385199,238385201,238385208,238385217,238385226,238385216,238388645,0,238388647,238388650,238388654,3,2,7,16,9,-1,3429,-238388645,238388647,3,4,3458
1759,238385209,238385210,238385226,238385228,238385234,238385253,238385238,238388784,0,238388785,238388788,238388792,1,16,2,8,19,4,3546,-238388784,238388785,3,4,3583
1760,238876693,238876694,238876697,238876702,238876710,238876720,238876710,238880031,0,238880034,238880037,238880041,1,3,5,13,10,0,3321,-238880031,238880034,3,4,3348
1761,239081754,239081755,239081757,239081761,239081768,239081769,239081768,239085095,0,239085098,239085101,239085105,1,2,4,11,1,0,3327,-239085095,239085098,3,4,3351
1762,239336921,239336922,239336924,239336928,239336934,239336944,239336934,239340148,0,239340151,239340153,239340158,1,2,4,10,10,0,3214,-239340148,239340151,2,5,3237
1763,239460076,239460077,239460079,239460084,239460092,239460101,239460091,239463411,0,239463413,239463416,239463422,1,2,5,13,9,-1,3320,-239463411,239463413,3,6,3346
1764,242212772,242212773,242212775,242212783,242212793,242212794,242212793,242215161,0,242215164,242215168,242215172,1,2,8,18,1,0,2368,-242215161,242215164,4,4,2400
1765,242214469,242214472,242214474,242214482,242214491,242214499,242214487,242217751,0,242217754,242217757,242217761,3,2,8,17,8,-4,3264,-242217751,242217754,3,4,3292
1766,243125148,243125149,243125151,243125157,243125167,243125175,243125166,243128619,0,243128622,243128625,243128629,1,2,6,16,8,-1,3453,-243128619,243128622,3,4,3481
1767,243144146,243144147,243144149,243144153,243144160,243144171,243144161,243147594,0,243147596,243147599,243147603,1,2,4,11,11,1,3433,-243147594,243147596,3,4,3457
1768,243163138,243163139,243163140,243163144,243163150,243163158,243163152,243166545,0,243166548,243166550,243166555,1,1,4,10,8,2,3393,-243166545,243166548,2,5,3417
1769,245310280,245310280,245310282,245310290,245310299,245310311,245310299,245313661,0,245313664,245313667,245313671,0,2,8,17,12,0,3362,-245313661,245313664,3,4,3391
1770,248675435,248675438,248675440,248675450,248675460,248675463,248675459,248678403,0,248678406,248678409,248678413,3,2,10,20,3,-1,2944,-248678403,248678406,3,4,2978
1771,249075860,249075861,249075863,249075871,249075882,249075893,249075878,249079085,0,249079088,249079091,249079096,1,2,8,19,11,-4,3207,-249079085,249079088,3,5,3236
1772,249079516,249079517,249079518,249079522,249079529,249079538,249079529,249082655,0,249082658,249082660,249082665,1,1,4,11,9,0,3126,-249082655,249082658,2,5,3149
1773,249291452,249291452,249291454,249291460,249291467,249291474,249291466,249294788,0,249294791,249294795,249294800,0,2,6,13,7,-1,3322,-249294788,249294791,4,5,3348
